# Re-read by hand in session, 2026-09-21: one row per part, as the paper labels them.
1 1.1b
2 1.2c
3 2.1a
4 3.1e
5 3.1a
6 3.1b
7 3.1d
8 2.1b
9 3.3b
10 3.3b
11 3.1f
12 1.3f
13 2.2a
14 2.1a,7.2
15 1.4b,1.3a
16(a) 1.1a
16(b) 2.2h
16(c) 2.2h
16(d) 1.1a
16(e) 1.1c
17(a)(i) 2.2g
17(a)(ii) 2.2g
17(b)(i) 2.2i
17(b)(ii) 2.2i,2.2j
17(c) 2.2g
18(a)(i) 7.9
18(a)(ii) 7.9
18(a)(iii) 2.2f,1.4b
18(b)(i) 1.4e
18(b)(ii) 1.4e
18(b)(iii) 1.4b
18(d) 2.1c,2.1f
19(a) 3.2h
19(b)(i) 3.2g
19(b)(ii) 3.2g
19(c)(i) 3.2d
19(c)(ii) 3.2d
19(d) 2.1b
20(a)(i) 3.3c
20(a)(ii) 3.2a
20(a)(iii) 3.3e,3.3c
20(b) 3.3g
20(c) 1.2g
21(a) 2.2c
21(b) 2.2c,2.2d
21(c)(ii) 2.2c,1.3a
22(a) 1.3c
22(b) 1.3c
22(c)(i) 1.3c
22(c)(iii) 1.3c
22(c)(iv) 1.3c
