# Re-read by hand in session, 2026-09-21: one row per part, as the paper labels them.
1 P2.3h
2 P3.2j
3 P2.3m
4 P2.3a
5 P2.3c
6 P3.2j
7 P3.2i
8 P2.1h
9 P2.2m
10 P2.3k
11 P2.1d
12 P1.3d
13 P2.2n
15 P1.2c
16(a)(i) P2.2o
16(a)(ii) P2.2o
16(b) P3.2e
16(c) P3.2m
16(d)(i) P3.1a,P3.1c
16(d)(ii) P3.1f
17(a)(i) P1.1a,P1.1b
17(a)(ii) P1.1a
17(b)(i) P1.1d
17(b)(ii) P1.1d
18(a)(i) P1.2d
18(a)(ii) P1.2d,P1.2e
18(b)(i) P1.2e
18(b)(ii) P1.2e
19 P2.1h,P2.1g
20(a) P2.2a
20(b) P2.2c
20(c) P2.2d
20(d)(i) P2.2i
20(d)(ii) P2.2l
21(a)(i) P2.3l
21(a)(ii) P2.3l
21(b)(i) P2.3o
21(b)(ii) P2.3n
22(a)(i) P3.2k
22(a)(ii) P3.2k
22(b)(i) P3.2h
22(b)(ii) P3.2e,P3.2h
22(c)(i) P3.2d
22(c)(ii) P3.2l
23(a)(i) P4.1e
23(a)(ii) P4.1e
23(b) P4.1d
