code,title,weight,source
EDEX 1.1,Explain how the sub-cellular structures of eukaryotic and prokaryotic cells are related to,3.85,1.1
EDEX 1.2,"Describe how specialised cells are adapted to their function, including: a sperm cells – a",3.2,1.2
EDEX 1.3,"Explain how changes in microscope technology, including electron microscopy, have enabled ",2.12,1.3
EDEX 1.4,"Demonstrate an understanding of number, size and scale, including the use of estimations a",1.72,1.4
EDEX 1.5,Demonstrate an understanding of the relationship between quantitative units in relation to,4.35,1.5
EDEX 1.6,"Core Practical: Investigate biological specimens using microscopes, including magnificatio",2.8,1.6
EDEX 1.7,Explain the mechanism of enzyme action including the active site and enzyme specificity,1.7,1.7
EDEX 1.8,Explain how enzymes can be denatured due to changes in the shape of the active site,1.7,1.8
EDEX 1.9,"Explain the effects of temperature, substrate concentration and pH on enzyme activity 2c, ",1.72,1.9
EDEX 1.10,"Core Practical: Investigate the effect of pH on enzyme activity 2c, 2f 4a, 4c",2.8,1.10
EDEX 1.11,"Demonstrate an understanding of rate calculations for enzyme activity 1a, 1c",1.7,1.11
EDEX 1.12,Explain the importance of enzymes as biological catalysts in the synthesis of carbohydrate,1.9,1.12
EDEX 1.13B,"Core Practical: Investigate the use of chemical reagents to identify starch, reducing suga",2.5,1.13B
EDEX 1.14B,Explain how the energy contained in food can be measured using calorimetry 1a 2a,2.0,1.14B
EDEX 1.15,"Explain how substances are transported into and out of cells, including by diffusion, osmo",1.7,1.15
EDEX 1.16,"Core Practical: Investigate osmosis in potatoes 1c 2b, 2f 4a, 4c",2.8,1.16
EDEX 1.17,"Calculate percentage gain and loss of mass in osmosis 1a, 1c 4a, 4c Use of mathematics ● D",3.75,1.17
EDEX 2.1,"Describe mitosis as part of the cell cycle, including the stages interphase, prophase, met",1.3,2.1
EDEX 2.2,"Describe the importance of mitosis in growth, repair and asexual reproduction",1.3,2.2
EDEX 2.3,"Describe the division of a cell by mitosis as the production of two daughter cells, each w",2.3,2.3
EDEX 2.4,Describe cancer as the result of changes in cells that lead to uncontrolled cell division,1.3,2.4
EDEX 2.5,"Describe growth in organisms, including: a cell division and differentiation in animals b ",2.2,2.5
EDEX 2.6,Explain the importance of cell differentiation in the development of specialised cells,1.7,2.6
EDEX 2.7,Demonstrate an understanding of the use of percentiles charts to monitor growth 1c 4a,1.7,2.7
