code,title,weight,source
IGCSE 1.1,understand how living organisms share the following characteristics: • they require nutrit,3.72,1.1
IGCSE 1.2,"describe the common features shown by eukaryotic organisms: plants, animals, fungi and pro",2.9,1.2
IGCSE 1.3,describe the common features shown by prokaryotic organisms such as bacteria Bacteria: the,2.52,1.3
IGCSE 1.4,"understand the term pathogen and know that pathogens may include fungi, bacteria, protocti",3.0,1.4
IGCSE 2.1,"describe the levels of organisation in organisms: organelles, cells, tissues, organs and s",1.3,2.1
IGCSE 2.2,"describe cell structures, including the nucleus, cytoplasm, cell membrane, cell wall, mito",1.3,2.2
IGCSE 2.3,"describe the functions of the nucleus, cytoplasm, cell membrane, cell wall, mitochondria, ",1.3,2.3
IGCSE 2.4,know the similarities and differences in the structure of plant and animal cells,1.05,2.4
IGCSE 2.5B,explain the importance of cell differentiation in the development of specialised cells,1.7,2.5B
IGCSE 2.6B,understand the advantages and disadvantages of using stem cells in medicine,1.4,2.6B
IGCSE 2.7,"identify the chemical elements present in carbohydrates, proteins and lipids (fats and oil",1.2,2.7
IGCSE 2.8,"describe the structure of carbohydrates, proteins and lipids as large molecules made up fr",1.5,2.8
IGCSE 2.9,"practical: investigate food samples for the presence of glucose, starch, protein and fat",4.4,2.9
IGCSE 2.10,understand the role of enzymes as biological catalysts in metabolic reactions,1.4,2.10
IGCSE 2.11,"understand how temperature changes can affect enzyme function, including changes to the sh",1.4,2.11
IGCSE 2.12,practical: investigate how enzyme activity can be affected by changes in temperature,4.4,2.12
IGCSE 2.13,understand how enzyme function can be affected by changes in pH altering the active site,1.4,2.13
IGCSE 2.14B,practical: investigate how enzyme activity can be affected by changes in pH (d) Movement o,4.4,2.14B
IGCSE 2.15,"understand the processes of diffusion, osmosis and active transport by which substances mo",1.4,2.15
IGCSE 2.16,"understand how factors affect the rate of movement of substances into and out of cells, in",1.49,2.16
IGCSE 2.17,practical: investigate diffusion and osmosis using living and non-living systems,4.4,2.17
IGCSE 2.18,understand the process of photosynthesis and its importance in the conversion of light ene,1.4,2.18
IGCSE 2.19,know the word equation and the balanced chemical symbol equation for photosynthesis,1.05,2.19
IGCSE 2.20,"understand how varying carbon dioxide concentration, light intensity and temperature affec",1.4,2.20
IGCSE 2.21,describe the structure of the leaf and explain how it is adapted for photosynthesis,1.3,2.21
IGCSE 2.22,"understand that plants require mineral ions for growth, and that magnesium ions are needed",1.4,2.22
IGCSE 2.23,"practical: investigate photosynthesis, showing the evolution of oxygen from a water plant,",4.42,2.23
IGCSE 2.24,"understand that a balanced diet should include appropriate proportions of carbohydrate, pr",1.4,2.24
IGCSE 2.25,"identify the sources and describe the functions of carbohydrate, protein, lipid (fats and ",1.4,2.25
IGCSE 2.26,"understand how energy requirements vary with activity levels, age and pregnancy",1.4,2.26
IGCSE 2.27,"describe the structure and function of the human alimentary canal, including the mouth, oe",1.34,2.27
IGCSE 2.28,understand how food is moved through the gut by peristalsis,1.4,2.28
IGCSE 2.29,"understand the role of digestive enzymes, including the digestion of starch to glucose by ",1.69,2.29
IGCSE 2.30,understand that bile is produced by the liver and stored in the gall bladder,1.4,2.30
IGCSE 2.31,understand the role of bile in neutralising stomach acid and emulsifying lipids,1.4,2.31
IGCSE 2.32,"understand how the small intestine is adapted for absorption, including the structure of a",1.4,2.32
IGCSE 2.33B,practical: investigate the energy content in a food sample,4.4,2.33B
IGCSE 2.34,understand how the process of respiration produces ATP in living organisms,1.4,2.34
IGCSE 2.35,know that ATP provides energy for cells,1.05,2.35
IGCSE 2.36,describe the differences between aerobic and anaerobic respiration,1.3,2.36
