code,title,weight,source
OCR 1.1a,Microscopy and Light Imaging,3.9,B1.1a
OCR 1.1b,Eukaryotic and Prokaryotic Structures,2.9,B1.1b
OCR 1.1c,Electron Microscopy Resolution,2.46,B1.1c
OCR 1.2a,DNA as a Polymer,1.3,B1.2a
OCR 1.2b,Double Helix Structure,1.3,B1.2b
OCR 1.2c,Nucleotides and Complementary Bases,2.26,B1.2c
OCR 1.2d,Protein Synthesis: Transcription & Translation,1.77,B1.2d
OCR 1.2e,Triplet Genetic Code,1.79,B1.2e
OCR 1.2f,Enzyme Experiments,4.56,B1.2f
OCR 1.2g,Mechanism of Enzyme Action,4.08,B1.2g
OCR 1.3a,Cellular Respiration as Universal ATP Source,1.3,B1.3a
OCR 1.3b,Exothermic Nature of Respiration,1.3,B1.3b
OCR 1.3c,Aerobic vs Anaerobic Comparison,2.91,B1.3c
OCR 1.3d,Sugar Synthesis and Polymers,2.01,B1.3d
OCR 1.3e,Amino Acid Synthesis and Proteins,1.74,B1.3e
OCR 1.3f,Lipid Synthesis and breakdown,1.7,B1.3f
OCR 1.4a,Photosynthetic Organisms as Biomass Producers,1.3,B1.4a
OCR 1.4b,Process of Photosynthesis,1.81,B1.4b
OCR 1.4c,Endothermic Nature of Photosynthesis,1.3,B1.4c
OCR 1.4d,Photosynthesis Experiments,3.43,B1.4d
OCR 1.4e,Factors Affecting Photosynthetic Rates,3.12,B1.4e
OCR 1.4f,Limiting Factors Interactions,3.12,B1.4f
OCR 2.1a,Substance Transport across Membranes,3.56,B2.1a
OCR 2.1b,Mitosis and the Cell Cycle,1.99,B2.1b
OCR 2.1c,Cell Differentiation & Specialisation,2.01,B2.1c
OCR 2.1d,Stem Cell Sources,1.1,B2.1d
OCR 2.1e,Functions of Stem Cells,1.46,B2.1e
OCR 2.1f,Embryonic vs Adult Stem Cells,1.3,B2.1f
OCR 2.2a,Surface Area to Volume Ratio (SA:V),2.88,B2.2a
OCR 2.2b,Transported Substances,1.48,B2.2b
OCR 2.2c,Human Circulatory System,1.46,B2.2c
OCR 2.2d,Heart and Blood Vessel Adaptations,3.14,B2.2d
OCR 2.2e,Red Blood Cell and Plasma Adaptations,2.17,B2.2e
OCR 2.2f,Plant Water and Mineral Uptake,3.3,B2.2f
OCR 2.2g,Transpiration and Translocation,1.7,B2.2g
OCR 2.2h,Xylem and Phloem Adaptations,1.7,B2.2h
OCR 2.2i,Factors Affecting Water Uptake,2.94,B2.2i
OCR 2.2j,Potometer Investigations,5.46,B2.2j
OCR 3.1a,Structure of the Nervous System,1.63,B3.1a
OCR 3.1b,Nervous Coordination and Response,2.32,B3.1b
OCR 3.1c,Reflex Arc Function,2.46,B3.1c
OCR 3.1d,Structures of the Eye,2.32,B3.1d
OCR 3.1e,Common Eye Defects,1.72,B3.1e
OCR 3.1f,Structure and Function of the Brain,1.3,B3.1f
OCR 3.1g,Brain Investigation Challenges,1.97,B3.1g
OCR 3.1h,Limitations of Nervous Treatments,2.3,B3.1h
OCR 3.2a,Principles of Endocrine Coordination,1.3,B3.2a
OCR 3.2b,Thyroxine and Adrenaline,1.7,B3.2b
OCR 3.2c,Hormones in Human Reproduction,1.3,B3.2c
OCR 3.2d,Menstrual Cycle Interactions,2.54,B3.2d
OCR 3.2e,Use of Hormones in Contraception,2.51,B3.2e
